LONG_NAME,LIFESTYLE_CAT,ADDR,ICON,ICON_STR,COLOR,PYCOLOR,lat,long,APT_CLUST
Los Angeles County Museum of Art,Social,"5905 Wilshire Blvd, Los Angeles, CA 90036",palette,palette,#EC42AF,pink,34.06447235,-118.3599459,99
The Getty Center,Social,"1200 Getty Center Dr, Los Angeles, CA 90049",building-columns,building,#93D500,green,34.07695125,-118.475712,99
The Broad,Social,"221 S Grand Ave, Los Angeles, CA 90012",palette,palette,#EC42AF,pink,34.0544584,-118.2505942,99
Jurupa Mountains Discovery Center,Social,"7621 Granite Hill Dr, Riverside, CA 92509",building-columns,building,#93D500,green,34.01460957665105,-117.4487808,99
Marshalls,Store,"3635 Riverside Plaza Dr, Riverside, CA 92506",tags,tags,#0024CC,darkblue,33.9554404,-117.391541,99
Marshalls,Store,"2676 Canyon Springs Pkwy, Riverside, CA 92507",tags,tags,#0024CC,darkblue,33.941245907548904,-117.2828588,99
Marshalls,Store,"741 W 2nd St, San Bernardino, CA 92410",tags,tags,#0024CC,darkblue,34.10264484,-117.2996249,99
Marshalls,Store,"1635 W Lugonia Ave, Redlands, CA 92374",tags,tags,#0024CC,darkblue,34.0694582,-117.2106793,99
Marshalls,Store,"15022 Summit Ave, Fontana, CA 92336",tags,tags,#0024CC,darkblue,34.15033061611592,-117.4700901,99
T.J. Maxx,Store,"12625 Frederick St, Moreno Valley, CA 92553",tags,tags,#CF0A2C,darkred,33.93667745,-117.2654768,99
T.J. Maxx,Store,"17144 Slover Ave, Fontana, CA 92337",tags,tags,#CF0A2C,darkred,34.063121703499604,-117.4307894,99
T.J. Maxx,Store,"27651-D W San Bernardino Ave, Redlands, CA 92374",tags,tags,#CF0A2C,darkred,34.077349,-117.1917297,99
T.J. Maxx,Store,"277 E 40th St, San Bernardino, CA 92404",tags,tags,#CF0A2C,darkred,34.1650071,-117.2702443,99
T.J. Maxx,Store,"390 N McKinley St, Corona, CA 92879",tags,tags,#CF0A2C,darkred,33.88832442237993,-117.5195265,99
T.J. Maxx,Store,"2500 E Imperial Hwy, Brea, CA 92821",tags,tags,#CF0A2C,darkred,33.9105756,-117.8706382,99
Moreno Valley Mall,Store,"22500 Town Cir, Moreno Valley, CA 92553",bag-shopping,bag,#E0252D,purple,33.93868495,-117.2714253,99
Macy's,Store,"22400 Town Cir, Moreno Valley, CA 92553",shirt,shirt,#E51B24,red,33.938643,-117.275137,99
Macy's,Store,"400 Inland Center Dr, San Bernardino, CA 92408",shirt,shirt,#E51B24,red,34.090817543777824,-117.2953372,99
Macy's,Store,"3500 Tyler St, Riverside, CA 92503",shirt,shirt,#E51B24,red,33.906836,-117.457361,99
Macy's,Store,"7855 Kew Ave, Rancho Cucamonga, CA 91739",shirt,shirt,#E51B24,red,34.111688058968355,-117.5309992,99
Jurupa Valley/Pedley,Transit,"6001 Pedley Rd, Riverside, CA 92503",train-subway,train,#0671BA,beige,33.978998,-117.475515,99
Jurupa Valley/Pedley,Transit,"6001 Pedley Rd, Riverside, CA 92503",train-subway,train,#0671BA,beige,33.978998,-117.475515,99
Los Angeles Union Station,Transit,"800 N Alameda St, Los Angeles, CA 90012",train-subway,train,#A51D35,beige,34.0560576,-118.2358962,99
Los Angeles Union Station,Transit,"800 N Alameda St, Los Angeles, CA 90012",train-subway,train,#A51D35,beige,34.0560576,-118.2358962,99
Moreno Valley/March Field,Transit,"14160 Meridian Pkwy, Riverside, CA 92518",train-subway,train,#0671BA,beige,33.9168075,-117.2920621,99
Moreno Valley/March Field,Transit,"14160 Meridian Pkwy, Riverside, CA 92518",train-subway,train,#0671BA,beige,33.9168075,-117.2920621,99
Riverside - Downtown,Transit,"4066 Vine St, Riverside, CA 92507",train-subway,train,#0671BA,beige,33.97618517475728,-117.3708811,99
Riverside - Downtown,Transit,"4066 Vine St, Riverside, CA 92507",train-subway,train,#0671BA,beige,33.97618517475728,-117.3708811,99
Riverside - Hunter Park/UCR,Transit,"1099 Marlborough Ave, Riverside, CA 92507",train-subway,train,#0671BA,beige,33.997536,-117.335309,99
Riverside - Hunter Park/UCR,Transit,"1099 Marlborough Ave, Riverside, CA 92507",train-subway,train,#0671BA,beige,33.997536,-117.335309,99
Riverside - La Sierra,Transit,"10901 Indiana Ave, Riverside, CA 92503",train-subway,train,#0671BA,beige,33.913288,-117.4429513,99
Riverside - La Sierra,Transit,"10901 Indiana Ave, Riverside, CA 92503",train-subway,train,#0671BA,beige,33.913288,-117.4429513,99
"University of California, Riverside",Work,"900 University Ave. Riverside, CA 92521",briefcase,work,#003DA5,darkblue,33.9642567,-117.3397858,99
