LONG_NAME,LIFESTYLE_CAT,ADDR,ICON,ICON_STR,COLOR,PYCOLOR,lat,long,APT_CLUST
International Village UCR Student Housing,Apartment,"1100 Everton Pl, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9737046,-117.337573,0
Ironwood Villas,Apartment,"23163 Ironwood Ave, Moreno Valley, CA 92557",house-chimney,house,#F49ECB,pink,33.946513,-117.2585065,3
La Pacifica,Apartment,"23400 Hemlock Ave, Moreno Valley, CA 92557",house-chimney,house,#F49ECB,pink,33.9426045,-117.2542289,3
Lasselle Place,Apartment,"15700 Lasselle St, Moreno Valley, CA 92551",house-chimney,house,#F49ECB,pink,33.8928762,-117.2079173,6
Legends at Rancho Belago,Apartment,"13292 Lasselle St, Moreno Valley, CA 92553",house-chimney,house,#F49ECB,pink,33.9274875,-117.2088125,6
Lincoln Village Apartment Homes,Apartment,"3000 Van Buren Boulevard, Riverside, CA 92503",house-chimney,house,#F49ECB,pink,33.908014,-117.43653,1
Loma Linda Springs,Apartment,"11171 Oakwood Dr, Loma Linda, CA 92354",house-chimney,house,#F49ECB,pink,34.0498342,-117.2743409,5
Madison Park,Apartment,"3571 Madison St, Riverside, CA 92504",house-chimney,house,#F49ECB,pink,33.93775445,-117.4060744,1
MARK Riverside,Apartment,"3777 Mission Inn Ave, Riverside, CA 92501",house-chimney,house,#F49ECB,pink,33.983441978853364,-117.3746246,2
Mission Lofts,Apartment,"3050 Mission Inn Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.97898116640774,-117.3654355,4
Mission Lofts,Apartment,"3050 Mission Inn Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9789812,-117.3654355,2
Monarch Terrace Apartments,Apartment,"23215 Ironwood Ave, Moreno Valley, CA 92557",house-chimney,house,#F49ECB,pink,33.9465132,-117.2560239,3
Nova Pointe Apartments,Apartment,"800 E Washington St, Colton, CA 92324",house-chimney,house,#F49ECB,pink,34.047981,-117.31627,5
Park Hill Apartments,Apartment,"991 Blaine St, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9830854,-117.3339027,0
Presidential Townhomes,Apartment,"3680 Monroe St, Riverside, CA 92504",house-chimney,house,#F49ECB,pink,33.925753,-117.4313472,1
Quail Creek Apartments,Apartment,"3131 Arlington Ave, Riverside, CA 92506",house-chimney,house,#F49ECB,pink,33.9470802,-117.379519,1
Raincross Promenade,Apartment,"3250 Market St, Riverside, CA 92501",house-chimney,house,#F49ECB,pink,33.9879964,-117.3719107,2
Ridgeview,Apartment,"25335 Alessandro Blvd, Moreno Valley, CA 92553",house-chimney,house,#F49ECB,pink,33.917266,-117.220009,6
River Oaks,Apartment,"3535 Banbury Dr, Riverside, CA 92505",house-chimney,house,#F49ECB,pink,33.9053915,-117.4614784,1
Sago Palms Apartments,Apartment,"3646 Jackson St, Riverside, CA 92503",house-chimney,house,#F49ECB,pink,33.9216134,-117.4367552,1
Sierra Vista Apartments,Apartment,"10558 Mountain View Ave, Redlands, CA 92373",house-chimney,house,#F49ECB,pink,34.0684225,-117.2437043,5
Sorano Apartments,Apartment,"12406 Clark St, Moreno Valley, CA 92557",house-chimney,house,#F49ECB,pink,33.9496013,-117.2877463,4
Sorelle Apartments,Apartment,"12159 Calle Sombra, Moreno Valley, CA 92557",house-chimney,house,#F49ECB,pink,33.9427351,-117.2574093,3
