LONG_NAME,LIFESTYLE_CAT,ADDR,ICON,COLOR
Ralphs,Grocery,"12201 Highland Ave, Rancho Cucamonga, CA 91739",fa-shopping-cart,darkgreen
Ralphs,Grocery,"7369 Milliken Ave, Rancho Cucamonga, CA 91730",fa-shopping-cart,darkgreen
Ralphs,Grocery,"3075 S Archibald Ave Bldg C, Ontario, CA 91761",fa-shopping-cart,darkgreen
Ralphs,Grocery,"7243 Haven Ave, Rancho Cucamonga, CA 91701",fa-shopping-cart,darkgreen
Ralphs,Grocery,"2661 Green River Rd, Corona, CA 92882",fa-shopping-cart,darkgreen
Costco,Grocery,"12700 Day St, Moreno Valley, CA 92553",fa-shopping-cart,darkgreen
Costco,Grocery,"1099 E Hospitality Ln, San Bernardino, CA 92408",fa-shopping-cart,darkgreen
Costco,Grocery,"16505 Sierra Lakes Pkwy, Fontana, CA 92336",fa-shopping-cart,darkgreen
Costco,Grocery,"480 N McKinley St, Corona, CA 92879",fa-shopping-cart,darkgreen
Costco,Grocery,"11800 Fourth St, Rancho Cucamonga, CA 91730",fa-shopping-cart,darkgreen
Kennesaw State University,Historical,"1000 Chastain Rd NW, Kennesaw, GA 30144",fa-home,beige
Hawthorne at Kennesaw,Historical,"4045 George Busbee Pkwy NW, Kennesaw, GA 30144",fa-home,beige
MAA Shiloh,Historical,"1750 Shiloh Rd NW, Kennesaw, GA 30144",fa-home,beige
AMC Barrett,Historical,"2600 Cobb Pl Ln NW, Kennesaw, GA 30144",fa-home,beige
Town Center Mall,Historical,"400 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144",fa-home,beige
Perimeter Mall,Historical,"4400 Ashford Dunwoody Rd, Atlanta, GA 30346",fa-home,beige
My Sisters Room,Historical,"1104 Crescent Ave NE, Atlanta, GA 30309",fa-home,beige
Studio Movie Grill,Historical,"40 Powers Ferry Rd, Marietta, GA 30067",fa-home,beige
Silver Creek Apartments,Historical,"1776 Summit Forest Dr, Marietta, GA 30068",fa-home,beige
Kennesaw State University,Historical,"1100 South Marietta Pkwy SE, Marietta, GA 30060",fa-home,beige
Fucky (Lucky) China,Historical,"3600 Cherokee St NW suite111, Kennesaw, GA 30144",fa-home,beige
